id,longitude,latitude
6636627290,77.1807898,28.678819
918183762,77.1819965,28.6941663
918184558,77.1817203,28.6938779
6649114518,77.1821919,28.6943877
918184182,77.1822062,28.6940142
918184465,77.1818037,28.6943123
918183771,77.1828312,28.6916514
918184223,77.1835669,28.6924132
918184139,77.182091,28.6908614
918184180,77.183035,28.6915025
918184194,77.1851602,28.6890288
918183790,77.180393,28.6928448
918184229,77.180494,28.6925862
918184221,77.1814171,28.693208
918183800,77.1841288,28.6930406
918184543,77.1838532,28.6927376
918184632,77.1844067,28.6924461
918184609,77.18395,28.693249
918183804,77.182492,28.6872711
918184197,77.1830864,28.6870091
918184549,77.1826391,28.6874467
918184087,77.1823782,28.6871355
918183835,77.1831594,28.6871801
918183855,77.1836652,28.6899309
918184629,77.1839475,28.6901791
9181694210,77.1832091,28.6903684
9181694213,77.1829355,28.6901529
918183857,77.1838102,28.6921964
918183888,77.1839619,28.691874
918184601,77.1841017,28.6923254
918184214,77.183755,28.6922785
918183862,77.1812074,28.6942355
918183969,77.1810873,28.6943207
918183892,77.1812752,28.6942624
9181780445,77.1840499,28.6916697
918184594,77.1833455,28.6912756
6649114514,77.1816648,28.6947307
918184633,77.1813571,28.6941708
918184290,77.1809373,28.6944217
6649114515,77.1815106,28.6948311
918183978,77.1819903,28.692772
918184235,77.1822109,28.6926239
918184080,77.1817934,28.6929195
918184547,77.182709,28.6934941
918183983,77.1857527,28.6842509
918184015,77.1869469,28.6869439
918184162,77.1819665,28.6930879
918184585,77.1821306,28.6872282
918184104,77.180068,28.6927058
918184216,77.1800183,28.6927882
9181715733,77.1801923,28.6924878
918184113,77.1819671,28.6937589
918184648,77.1823713,28.6934814
4227741609,77.181935,28.6937297
918184163,77.1821295,28.6939324
918184115,77.1804196,28.6947701
918184201,77.1807676,28.6945358
10255244676,77.1801584,28.6944031
918184202,77.1803829,28.6952966
918184131,77.1825438,28.6904815
918184559,77.1822761,28.6907061
918184495,77.1828131,28.6907483
9873669102,77.1823276,28.6903049
918184283,77.1818115,28.6910959
918184166,77.1828027,28.6883131
918184155,77.1832979,28.6926031
918184522,77.1830226,28.6927843
918184613,77.1815907,28.6933529
918184390,77.1825315,28.6936306
918184164,77.183647,28.6894102
6636950602,77.1838155,28.6895557
2644016531,77.1837416,28.6893514
918184165,77.1815209,28.6940304
6636950603,77.1834302,28.6889634
9873767206,77.1829876,28.6881439
9181776880,77.1863196,28.6839989
6649114519,77.1824134,28.6942435
918184184,77.1830177,28.6834622
9871496242,77.1919441,28.69069
9871496243,77.1915015,28.690537
918184199,77.1841012,28.6823446
10274777742,77.1859776,28.6837403
918184485,77.1810455,28.6948569
918184643,77.1802105,28.6953849
918184203,77.1845436,28.6914783
9867699091,77.1843831,28.6917971
918184610,77.1842058,28.691352
918184278,77.1848487,28.6915991
918184590,77.1812929,28.6910566
918184575,77.1824003,28.6924846
918184430,77.1828834,28.6933566
918184523,77.1842887,28.6893418
2644020330,77.1852306,28.6908869
6636950601,77.1838817,28.6894623
918184256,77.1841358,28.6894656
9181780443,77.1846822,28.6919096
918184554,77.1850776,28.6911722
918184537,77.1815697,28.6913169
6649114516,77.181349,28.6949363
2644016536,77.1838099,28.689181
918184419,77.1842425,28.6904383
918184497,77.1845302,28.6906911
918184638,77.1830902,28.6932094
918184475,77.1816051,28.6944583
